"codigo_manzana","prc_nmer03","prc_nmer04","prc_nmer05","prc_nmer06","prc_nmer07","prc_nmer08","prc_nmer09","prc_nmer10","prc_nmer11","prc_nmer12","prc_nmer13","prc_nmer14","prc_nmer15","prc_nmer16","prc_nmer17"
"7600110000000002060104","0","2.5","0","7.5","0","2.631578947368421","2.631578947368421","0","5.263157894736842","0","0","9.375","3.125","3.125","0"
"7600110000000002120308","33.33333333333333","0","0","0","0","0","0","0","0","33.33333333333333","0","0","0","0","0"
"7600110000000002120404","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002230109","7.317073170731707","2.4390243902439024","12.195121951219512","4.878048780487805","7.317073170731707","4.444444444444445","0","2.2222222222222223","0","2.2222222222222223","2.272727272727273","4.545454545454546","4.545454545454546","4.545454545454546","4.545454545454546"
"7600110000000004090103","0","0","55.55555555555556","11.11111111111111","11.11111111111111","0","0","0","0","22.22222222222222","0","7.6923076923076925","0","0","0"
"7600110000000003050104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.333333333333332"
"7600110000000002120106","0","0","0","0","0","0","12.5","0","0","0","0","0","0","0","0"
"7600110000000002200107","0","6.0606060606060606","0","0","0","7.4074074074074066","3.7037037037037033","0","3.7037037037037033","3.7037037037037033","11.538461538461538","0","7.6923076923076925","7.6923076923076925","0"
"7600110000000002170351","11.428571428571429","5.714285714285714","8.571428571428571","0","8.571428571428571","10.256410256410255","10.256410256410255","2.564102564102564","5.128205128205128","7.6923076923076925","5","2.5","10","2.5","5"
"7600110000000002050107","6.25","6.25","12.5","0","0","0","0","5.263157894736842","5.263157894736842","5.263157894736842","0","0","0","5","10"
"7600110000000002220307","5","5","0","0","10","0","5","5","15","0","0","12.5","0","4.166666666666666","4.166666666666666"
"7600110000000002170219","0","0","0","0","0","0","0","33.33333333333333","0","0","0","0","33.33333333333333","0","0"
"7600110000000002200113","0","0","0","4.545454545454546","4.545454545454546","4.545454545454546","0","0","0","4.545454545454546","9.090909090909092","0","4.545454545454546","4.545454545454546","4.545454545454546"
"7600110000000002200302","4.3478260869565215","4.3478260869565215","4.3478260869565215","4.3478260869565215","0","8.333333333333332","8.333333333333332","0","0","0","10","0","0","0","0"
"7600110000000002220305","4.3478260869565215","0","8.695652173913043","8.695652173913043","0","15.789473684210526","0","0","5.263157894736842","5.263157894736842","0","0","0","0","0"
"7600110000000002120406","0","0","6.666666666666667","6.666666666666667","13.333333333333334","5.263157894736842","0","0","0","0","6.666666666666667","0","6.666666666666667","0","0"
"7600110000000002200116","15.384615384615385","3.8461538461538463","0","3.8461538461538463","0","0","4.3478260869565215","4.3478260869565215","0","0","4.3478260869565215","8.695652173913043","13.043478260869565","0","4.3478260869565215"
"7600110000000002110321","11.76470588235294","5.88235294117647","2.941176470588235","2.941176470588235","0","6.896551724137931","0","3.4482758620689653","0","10.344827586206897","4.166666666666666","4.166666666666666","0","4.166666666666666","0"
"7600110000000002120303","0","8.695652173913043","0","0","0","5","0","0","0","5","5.88235294117647","0","0","0","0"
"7600110000000002160106","1.639344262295082","3.278688524590164","8.19672131147541","8.19672131147541","3.278688524590164","3.389830508474576","3.389830508474576","3.389830508474576","3.389830508474576","0","0","3.1746031746031744","3.1746031746031744","6.349206349206349","7.936507936507936"
"7600110000000002230213","16.666666666666664","0","0","0","0","0","0","0","0","16.666666666666664","0","0","0","0","0"
"7600110000000002120403","7.142857142857142","3.571428571428571","3.571428571428571","0","3.571428571428571","0","7.6923076923076925","0","0","3.8461538461538463","0","7.4074074074074066","0","7.4074074074074066","0"
"7600110000000002010224","0","0","0","0","0","9.090909090909092","0","0","0","9.090909090909092","0","0","0","0","22.22222222222222"
"7600110000000002090305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002220408","12.5","8.333333333333332","4.166666666666666","4.166666666666666","4.166666666666666","4.761904761904762","4.761904761904762","0","4.761904761904762","0","0","0","0","4.545454545454546","0"
"7600110000000002030149","0","0","3.8461538461538463","0","0","8.695652173913043","4.3478260869565215","0","8.695652173913043","0","5.263157894736842","0","0","0","5.263157894736842"
"7600110000000002110205","0","7.142857142857142","14.285714285714285","7.142857142857142","0","0","0","15.384615384615385","0","0","0","11.11111111111111","0","11.11111111111111","0"
"7600110000000002230317","7.333333333333333","5.666666666666666","6","3.6666666666666665","4.666666666666667","6.287425149700598","5.389221556886228","5.688622754491018","5.688622754491018","5.688622754491018","8.405797101449275","5.797101449275362","6.3768115942028984","4.63768115942029","3.1884057971014492"
"7600110000000002130406","0","20","0","0","0","0","0","0","0","0","0","16.666666666666664","0","0","0"
"7600110000000002170103","16.666666666666664","0","0","0","16.666666666666664","14.285714285714285","0","0","0","0","8.333333333333332","0","0","0","8.333333333333332"
"7600110000000004200210","25","12.5","0","0","12.5","8.333333333333332","8.333333333333332","0","8.333333333333332","8.333333333333332","9.090909090909092","0","0","9.090909090909092","27.27272727272727"
"7600110000000002190107","2.7777777777777777","4.513888888888888","1.3888888888888888","3.4722222222222223","4.861111111111112","3.5211267605633805","2.8169014084507045","3.873239436619718","4.577464788732395","6.338028169014084","3.3582089552238807","3.731343283582089","4.477611940298507","5.223880597014925","2.6119402985074625"
"7600110000000002040212","20","0","0","20","0","0","16.666666666666664","33.33333333333333","16.666666666666664","16.666666666666664","0","14.285714285714285","0","14.285714285714285","14.285714285714285"
"7600110000000002210213","3.225806451612903","9.67741935483871","0","3.225806451612903","0","3.0303030303030303","6.0606060606060606","3.0303030303030303","0","6.0606060606060606","6.25","0","3.125","3.125","3.125"
"7600110000000002200122","0","6.666666666666667","13.333333333333334","0","0","0","0","7.6923076923076925","7.6923076923076925","0","0","0","0","0","0"
"7600110000000002040138","0","4","0","0","0","12","0","4","0","4","4.3478260869565215","0","8.695652173913043","0","8.695652173913043"
"7600110000000002200216","3.7037037037037033","3.7037037037037033","3.7037037037037033","0","0","3.7037037037037033","7.4074074074074066","0","7.4074074074074066","0","3.571428571428571","3.571428571428571","0","0","3.571428571428571"
"7600110000000002200207","2.941176470588235","2.941176470588235","0","2.941176470588235","5.88235294117647","0","0","0","0","0","0","9.375","0","0","3.125"
"7600110000000002090204","0","0","0","14.285714285714285","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002220206","1.5873015873015872","6.349206349206349","1.5873015873015872","3.1746031746031744","3.1746031746031744","3.3333333333333335","5","1.6666666666666667","3.3333333333333335","3.3333333333333335","1.9607843137254901","3.9215686274509802","3.9215686274509802","1.9607843137254901","7.8431372549019605"
"7600110000000002010104","0","0","0","0","0","0","0","33.33333333333333","0","16.666666666666664","0","0","0","0","0"
"7600110000000002080304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002210223","0","0","0","9.090909090909092","0","9.090909090909092","9.090909090909092","0","0","9.090909090909092","8.333333333333332","0","0","8.333333333333332","0"
"7600110000000002200102","5.208333333333334","5.208333333333334","4.166666666666666","6.25","2.083333333333333","7.608695652173914","6.521739130434782","2.1739130434782608","3.260869565217391","2.1739130434782608","9.67741935483871","4.301075268817205","7.526881720430108","5.376344086021505","4.301075268817205"
"7600110000000002120114","8.695652173913043","4.3478260869565215","0","0","4.3478260869565215","0","0","4.166666666666666","4.166666666666666","12.5","0","0","4.3478260869565215","4.3478260869565215","4.3478260869565215"
"7600110000000002230217","2.857142857142857","4.285714285714286","4.285714285714286","2.857142857142857","2.857142857142857","4.838709677419355","3.225806451612903","6.451612903225806","6.451612903225806","1.6129032258064515","2.9850746268656714","1.4925373134328357","1.4925373134328357","2.9850746268656714","2.9850746268656714"
"7600110000000002210212","3.125","3.125","0","3.125","3.125","3.4482758620689653","10.344827586206897","10.344827586206897","10.344827586206897","0","3.571428571428571","3.571428571428571","0","0","0"
"7600110000000002210112","0","0","0","0","9.67741935483871","3.3333333333333335","0","3.3333333333333335","3.3333333333333335","6.666666666666667","3.8461538461538463","0","0","3.8461538461538463","11.538461538461538"
"7600110000000002010106","5.555555555555555","0","0","5.555555555555555","0","5","5","10","0","0","0","0","5.263157894736842","5.263157894736842","0"
"7600110000000002140110","3.4482758620689653","5.172413793103448","5.172413793103448","1.7241379310344827","3.4482758620689653","5.88235294117647","3.9215686274509802","5.88235294117647","0","7.8431372549019605","6.382978723404255","2.127659574468085","2.127659574468085","2.127659574468085","2.127659574468085"
"7600110000000002090409","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002130408","0","0","0","18.181818181818183","0","0","0","0","0","0","0","0","0","0","22.22222222222222"
"7600110000000002110113","0","11.11111111111111","5.555555555555555","0","16.666666666666664","0","6.666666666666667","0","0","13.333333333333334","5.555555555555555","0","0","5.555555555555555","0"
"7600110000000002080309","0","0","0","0","0","0","0","0","0","0","0","11.11111111111111","11.11111111111111","0","11.11111111111111"
"7600110000000002230319","3.9215686274509802","5.88235294117647","3.9215686274509802","1.9607843137254901","7.8431372549019605","2.9850746268656714","4.477611940298507","2.9850746268656714","2.9850746268656714","4.477611940298507","6.0606060606060606","7.575757575757576","6.0606060606060606","12.121212121212121","4.545454545454546"
"7600110000000002230302","0","9.375","3.125","3.125","9.375","0","3.125","3.125","0","0","2.941176470588235","2.941176470588235","0","0","2.941176470588235"
"7600110000000002020102","0","20","0","0","0","0","20","0","0","0","0","0","0","0","0"
"7600110000000002230203","6.896551724137931","3.4482758620689653","3.4482758620689653","3.4482758620689653","6.896551724137931","3.8461538461538463","23.076923076923077","0","7.6923076923076925","0","4","0","4","4","4"
"7600110000000002220207","2.3255813953488373","4.651162790697675","3.488372093023256","2.3255813953488373","5.813953488372093","3.5294117647058822","3.5294117647058822","3.5294117647058822","3.5294117647058822","0","5.405405405405405","5.405405405405405","2.7027027027027026","4.054054054054054","2.7027027027027026"
"7600110000000002130404","0","0","0","11.11111111111111","0","0","0","0","0","0","0","14.285714285714285","0","0","0"
"7600110000000002040137","0","0","0","6.666666666666667","13.333333333333334","7.142857142857142","14.285714285714285","7.142857142857142","7.142857142857142","0","6.25","0","6.25","0","0"
"7600110000000002210118","7.4074074074074066","7.4074074074074066","7.4074074074074066","3.7037037037037033","3.7037037037037033","4","4","0","4","0","7.4074074074074066","0","3.7037037037037033","7.4074074074074066","3.7037037037037033"
"7600110000000002010310","2.564102564102564","2.564102564102564","5.128205128205128","1.282051282051282","2.564102564102564","4.838709677419355","3.225806451612903","3.225806451612903","3.225806451612903","3.225806451612903","5.357142857142857","5.357142857142857","3.571428571428571","5.357142857142857","0"
"7600110000000002090213","5.263157894736842","0","0","5.263157894736842","0","0","0","16.666666666666664","0","0","20","0","0","0","0"
"7600110000000002020101","0","0","0","0","0","25","0","0","25","0","0","0","0","0","0"
"7600110000000002090410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002120416","0","0","0","0","12.5","8.333333333333332","8.333333333333332","0","0","0","0","0","0","0","0"
"7600110000000002220316","23.076923076923077","0","0","15.384615384615385","7.6923076923076925","8.333333333333332","0","16.666666666666664","8.333333333333332","0","18.181818181818183","0","0","9.090909090909092","0"
"7600110000000002040110","3.0303030303030303","3.0303030303030303","0","0","3.0303030303030303","3.7037037037037033","0","11.11111111111111","0","3.7037037037037033","0","8","0","0","4"
"7600110000000002110308","6.666666666666667","0","0","6.666666666666667","13.333333333333334","6.666666666666667","0","0","0","0","6.25","0","0","0","0"
"7600110000000002130107","12.5","0","0","12.5","0","14.285714285714285","14.285714285714285","0","14.285714285714285","14.285714285714285","33.33333333333333","16.666666666666664","16.666666666666664","0","16.666666666666664"
"7600110000000002080216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7600110000000002170120","6.8181818181818175","4.545454545454546","6.8181818181818175","7.954545454545454","6.8181818181818175","2.083333333333333","2.083333333333333","4.166666666666666","7.291666666666667","3.125","8.791208791208792","4.395604395604396","2.197802197802198","6.593406593406594","4.395604395604396"
"7600110000000002230108","6.422018348623854","7.339449541284404","5.5045871559633035","5.5045871559633035","4.587155963302752","3.571428571428571","5.357142857142857","3.571428571428571","2.6785714285714284","2.6785714285714284","5.084745762711865","5.932203389830509","0.847457627118644","3.389830508474576","2.5423728813559325"
"7600110000000002090205","0","11.11111111111111","0","0","11.11111111111111","0","0","11.11111111111111","0","11.11111111111111","0","0","0","0","0"
"7600110000000002220210","7.142857142857142","7.142857142857142","0","7.142857142857142","0","0","0","14.285714285714285","0","0","0","15.384615384615385","7.6923076923076925","7.6923076923076925","0"
"7600110000000002120503","0","5","0","0","0","0","0","10","5","20","0","0","0","6.25","0"
"7600110000000002220319","3.7037037037037033","3.7037037037037033","0","0","7.4074074074074066","0","8","8","0","0","4.761904761904762","0","4.761904761904762","0","0"
"7600110000000002220411","5.263157894736842","10.526315789473683","5.263157894736842","10.526315789473683","5.263157894736842","0","4.166666666666666","4.166666666666666","8.333333333333332","8.333333333333332","9.090909090909092","13.636363636363635","13.636363636363635","0","0"
"7600110000000002110404","18.181818181818183","0","9.090909090909092","9.090909090909092","0","0","14.285714285714285","0","7.142857142857142","0","0","5.555555555555555","5.555555555555555","5.555555555555555","0"
"7600110000000002130109","0","0","0","0","0","0","0","0","0","0","0","25","25","0","0"
"7600110000000002120111","0","0","4.761904761904762","4.761904761904762","4.761904761904762","4.761904761904762","4.761904761904762","4.761904761904762","4.761904761904762","14.285714285714285","10.526315789473683","5.263157894736842","5.263157894736842","0","0"
"7600110000000002060107","0","4.166666666666666","0","8.333333333333332","4.166666666666666","3.3333333333333335","0","3.3333333333333335","3.3333333333333335","6.666666666666667","0","0","3.571428571428571","3.571428571428571","3.571428571428571"
