manzanac,ed0,ed1,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30,ed1,pred_dec,pred,dif
7.60E+21,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,4,1,2,3,1,2,0,0,0.189400279,0,0
7.60E+21,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,0,1,4,1,2,1,1,2,1,1,0,0,1,0,0.142427299,0,0
7.60E+21,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,4,3,3,4,1,2,3,1,1,3,2,1,0.810534818,1,0
7.60E+21,2,1,3,2,0,0,2,1,1,0,2,1,3,0,1,1,0,0,0,3,1,0,2,3,3,1,1,3,2,0,1,1,0.95270664,1,0
7.60E+21,0,0,0,0,0,0,1,1,0,0,3,0,2,2,0,1,0,2,1,2,1,2,0,1,0,0,0,1,0,1,1,0,0.495338256,0,0
7.60E+21,0,2,0,2,0,3,2,2,1,1,2,2,1,3,3,0,4,4,2,10,1,8,4,4,1,3,6,3,2,5,6,2,1.990357143,2,0
7.60E+21,1,5,3,3,7,0,3,3,4,3,4,3,3,5,1,3,3,4,5,0,2,2,8,6,1,5,3,4,2,1,2,5,4.108571429,4,1
7.60E+21,6,4,5,9,8,5,5,9,3,7,3,11,5,5,9,3,12,1,5,7,7,5,5,9,12,6,5,10,6,7,14,4,4.634285714,5,-1
7.60E+21,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,0.659958508,1,0
7.60E+21,0,0,0,1,0,0,1,0,0,2,0,2,2,0,1,2,0,0,1,0,0,2,2,2,1,1,2,1,1,1,1,0,0.196124858,0,0
7.60E+21,1,0,1,0,0,0,0,1,0,1,1,1,1,1,2,3,0,2,4,2,5,0,0,1,1,1,1,2,1,0,2,0,0.245586974,0,0
7.60E+21,1,0,0,1,0,1,0,0,2,2,0,2,0,0,1,1,3,0,2,2,0,5,7,1,1,5,0,2,2,2,4,0,0.367414966,0,0
7.60E+21,0,0,1,3,1,2,1,2,0,0,1,1,1,1,2,1,1,4,1,1,4,2,3,2,2,1,3,1,1,2,0,0,0.343407502,0,0
7.60E+21,0,1,1,0,1,1,2,0,1,2,2,0,1,1,2,1,2,3,1,1,3,0,2,0,3,0,1,0,0,2,3,1,0.916743319,1,0
7.60E+21,0,0,1,0,0,2,0,1,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0.484364056,0,0
7.60E+21,0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,1,1,3,0,0,0,0,0,0.174603244,0,0
7.60E+21,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.562895479,1,0
7.60E+21,0,1,0,0,1,1,0,2,1,0,0,2,1,5,1,0,3,1,0,1,0,0,1,0,0,0,0,3,1,0,1,1,0.840500835,1,0
7.60E+21,0,0,0,1,0,0,1,1,2,1,3,0,1,1,1,0,3,1,1,0,0,2,1,1,2,1,0,0,1,3,0,0,0.279644396,0,0
7.60E+21,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0.109421796,0,0
7.60E+21,0,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3,1,2,2,1,1,5,0,1,1,1,1,0,1,0.934859343,1,0
7.60E+21,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7,1,10,4,2,5,6,1,1,1,2,2,2,0,0.602857143,1,-1
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,2,0,0.150912415,0,0
7.60E+21,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0,2,2,2,2,0,1,4,3,1,3,1,2,1,0.793564214,1,0
7.60E+21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,2,2,0,1,0,1,0.664603287,1,0
7.60E+21,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,1,4,2,0,1,2,1,2,1,0.860792939,1,0
7.60E+21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,1,1,0,0.110188356,0,0
7.60E+21,0,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1,0,2,1,4,3,1,2,2,4,1,1,5,0,0.371705147,0,0
