manzanac,rte,pred2019,pred2019_dec,pred2018,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.238428329,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,2,2,1,0
7.60E+21,,0,0.166114829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2
7.60E+21,,1,0.608443536,1,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0,0,0,2,0,2,4,0,2,0,2,2,1
7.60E+21,,0,0.034996293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
7.60E+21,,0,0.490206794,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,3,2,2,1,1,3
7.60E+21,,8,8.228571429,8,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8,3,13,7,10,14,14,11,8,16,9,7,15
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.899920891,1,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0,2,0,1,5,3,1,8,0,1,4,1,1
7.60E+21,,0,0.247236779,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
7.60E+21,,1,0.720236559,1,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,1,1,2,1,2,1,4,2,2,1
7.60E+21,,0,0.056456519,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0
7.60E+21,,1,0.757118506,1,1,2,0,0,2,0,1,0,1,0,2,1,2,1,4,0,1,0,0,1,0,0,1,1,2,2,1,2
7.60E+21,,1,0.877197279,1,0,0,0,3,1,1,0,2,0,0,1,0,0,0,2,1,2,0,2,1,2,0,0,2,0,1,0,2
7.60E+21,,1,0.675727899,1,1,0,0,1,2,0,1,1,1,0,2,2,1,1,1,1,2,1,0,0,2,0,2,2,3,1,2,0
7.60E+21,,1,0.81876767,1,0,1,3,0,2,1,1,2,0,1,0,1,1,2,1,0,3,1,0,3,1,1,0,3,1,0,2,1
7.60E+21,,0,0.201246398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,3,0,1
7.60E+21,,0,0.269973948,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
7.60E+21,,0,0.17487659,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
7.60E+21,,0,0.194337068,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0,1,1,1
7.60E+21,,0,0.418192745,1,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,2
7.60E+21,,7,6.737142857,6,7,9,8,7,7,8,12,5,10,7,7,4,7,9,5,6,6,10,12,6,7,7,5,12,16,12,12,14
7.60E+21,,6,6.007142857,6,8,10,5,14,4,12,14,6,10,14,8,10,11,7,7,13,7,3,8,5,9,5,9,5,8,8,4,7
7.60E+21,,0,0.093975757,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7.60E+21,,0,0.406663012,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,3,1
7.60E+21,,1,0.723280107,1,0,1,0,1,1,3,0,1,0,2,0,1,1,2,4,2,0,1,0,2,4,2,1,2,1,1,1,1
7.60E+21,,1,0.58322883,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,4,3,1,2,0,1,1
7.60E+21,,1,0.625256854,1,3,1,0,0,1,2,1,1,0,1,3,0,0,0,0,0,1,3,2,2,1,0,0,1,0,1,1,1
7.60E+21,,1,0.923386074,1,0,0,1,1,2,3,1,1,1,1,1,1,1,0,0,3,1,0,1,0,1,3,2,0,0,4,2,0
