manzanac,,,pred2031,pred2031_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,,1,0.801519754,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2
7.60E+21,,,1,0.623840909,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0
7.60E+21,,,5,4.681428571,5,5,5,5,5,6,5,6,6,5,6,7,7,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7
7.60E+21,,,1,0.945801038,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1
7.60E+21,,,0,0.209781148,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0
7.60E+21,,,1,1.288035714,2,1,1,1,2,2,1,1,2,2,1,2,2,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1
7.60E+21,,,1,0.557140169,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2
7.60E+21,,,0,0.06995074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1
7.60E+21,,,2,2.307204969,2,2,3,3,3,3,3,3,4,3,4,4,4,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4
7.60E+21,,,1,1.390520099,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6
7.60E+21,,,1,0.621865959,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2
7.60E+21,,,1,0.664297084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1
7.60E+21,,,2,1.781428571,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7
7.60E+21,,,0,0.109361512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
7.60E+21,,,0,0.001706451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.466049584,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0
7.60E+21,,,0,0.031916198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.60E+21,,,0,0.057793255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1
7.60E+21,,,7,6.608571429,6,7,6,6,7,7,6,7,7,6,7,8,8,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.671736957,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0
7.60E+21,,,0,0.003159224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.571200244,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1
7.60E+21,,,0,0.040533717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
7.60E+21,,,1,0.826915603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,0,1,0,1,0,2,1,2,1,4,0
7.60E+21,,,0,0.466239198,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,3,1,1,0,2,0,0,1,0,0,0,2,1
7.60E+21,,,1,0.608653273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,0,2,2,1,1,1,1
7.60E+21,,,1,0.64789267,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,0,2,1,1,2,0,1,0,1,1,2,1,0
7.60E+21,,,0,0.026575273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7.60E+21,,,0,0.029863716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1
7.60E+21,,,0,0.263827955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7.60E+21,,,0,0.077938747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7.60E+21,,,0,0.20119342,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,1
7.60E+21,,,5,4.648571429,5,5,5,5,5,5,5,6,6,6,6,7,6,7,9,8,7,7,8,12,5,10,7,7,4,7,9,5,6
7.60E+21,,,6,5.624285714,5,5,5,5,5,6,5,5,6,5,6,6,6,8,10,5,14,4,12,14,6,10,14,8,10,11,7,7,13
7.60E+21,,,0,0.215483539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
7.60E+21,,,0,0.092466812,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
7.60E+21,,,1,0.78867978,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,3,0,1,0,2,0,1,1,2,4,2
7.60E+21,,,0,0.230215683,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1
