manzanac,gbh,pred2022,pred2022_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.298340685,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,1,0,1,1
7.60E+21,,1,0.50897021,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,3,2,1,1,0,4,2,0
7.60E+21,,0,0.320203856,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,3,1
7.60E+21,,0,0.263431268,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1,0,0,1,0,2,0,2
7.60E+21,,1,0.508885048,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,2,5
7.60E+21,,0,0.158549977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,2
7.60E+21,,1,0.67112013,1,1,1,1,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2,0,1,3,2,1,2,3,1,3
7.60E+21,,0,0.219114796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,0,0
7.60E+21,,0,0.223372931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,0,0
7.60E+21,,1,0.779664257,1,1,1,1,2,1,0,3,1,0,1,1,2,1,2,0,0,0,7,1,2,4,2,3,2,4,1,3,1
7.60E+21,,1,0.557314096,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,4,1
7.60E+21,,0,0.352513055,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,0,1,4,1,2,1,1,2
7.60E+21,,1,0.841874717,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,4,3,3,4,1,2
7.60E+21,,1,0.870708617,1,1,1,1,1,3,2,0,0,2,1,1,0,2,1,3,0,1,1,0,0,0,3,1,0,2,3,3,1
7.60E+21,,0,0.436433231,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,2,2,0,1,0,2,1,2,1,2,0,1,0,0
7.60E+21,,1,1.437708006,2,1,1,1,2,0,2,0,3,2,2,1,1,2,2,1,3,3,0,4,4,2,10,1,8,4,4,1,3
7.60E+21,,2,1.728571429,2,2,2,2,5,3,3,7,0,3,3,4,3,4,3,3,5,1,3,3,4,5,0,2,2,8,6,1,5
7.60E+21,,4,4.037142857,4,5,4,5,4,5,9,8,5,5,9,3,7,3,11,5,5,9,3,12,1,5,7,7,5,5,9,12,6
7.60E+21,,0,0.264351979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,1,0,2
7.60E+21,,0,0.446922216,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,2,0,1,2,0,0,1,0,0,2,2,2,1,1
7.60E+21,,1,0.612940628,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,2,3,0,2,4,2,5,0,0,1,1,1
7.60E+21,,1,0.783720238,1,1,1,1,0,0,1,0,1,0,0,2,2,0,2,0,0,1,1,3,0,2,2,0,5,7,1,1,5
7.60E+21,,1,0.877417271,1,1,1,1,0,1,3,1,2,1,2,0,0,1,1,1,1,2,1,1,4,1,1,4,2,3,2,2,1
7.60E+21,,1,0.762661826,1,1,1,1,1,1,0,1,1,2,0,1,2,2,0,1,1,2,1,2,3,1,1,3,0,2,0,3,0
7.60E+21,,0,0.424444671,0,1,1,0,0,1,0,0,2,0,1,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,1
7.60E+21,,0,0.325811038,1,1,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,1,2,0,1,1,1
7.60E+21,,0,0.055921821,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7.60E+21,,0,0.483817536,1,1,1,1,1,0,0,1,1,0,2,1,0,0,2,1,5,1,0,3,1,0,1,0,0,1,0,0,0
7.60E+21,,0,0.468199177,1,1,1,1,0,0,1,0,0,1,1,2,1,3,0,1,1,1,0,3,1,1,0,0,2,1,1,2,1
7.60E+21,,0,0.211411488,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3
7.60E+21,,1,0.764080637,1,1,1,1,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3,1,2,2,1,1,5,0
7.60E+21,,2,1.92,2,2,2,2,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7,1,10,4,2,5,6,1
7.60E+21,,0,0.015157486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
7.60E+21,,1,0.6417499,1,1,1,1,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0,2,2,2,2,0,1,4
7.60E+21,,0,0.347842106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2
7.60E+21,,1,0.704429808,1,1,1,1,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,1,4,2
7.60E+21,,0,0.236312988,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0
7.60E+21,,1,0.704151624,1,1,1,1,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1,0,2,1,4,3,1,2
7.60E+21,,1,0.838196498,1,1,1,1,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1,2,1,3,0,1,1,1
7.60E+21,,1,0.778449182,1,1,1,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1,1,1,4,2,2,3,0
7.60E+21,,1,0.812616384,1,1,1,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,2,2,1,0,0,0,3
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.764469601,1,1,0,1,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1,3,0,2,1,0,2,1
7.60E+21,,0,0.005773897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7.60E+21,,1,0.55295957,1,0,1,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2,2,2,0,1,2,2,0
7.60E+21,,1,0.757155734,1,1,1,1,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1,1,0,3,1,1,0,1
7.60E+21,,1,0.85185432,1,1,1,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0,0,2,3,2,1,1,5
7.60E+21,,2,1.522857143,1,2,2,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5,2,4,5,2,1,4,2
7.60E+21,,1,0.934694874,1,1,1,1,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1,3,2,2,2,2,4,0
7.60E+21,,1,0.786102653,1,1,1,1,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0,0,2,1,0,0,1,2,2,2
7.60E+21,,6,5.808571429,5,6,7,7,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7,7,13,8,9,7,3,7,16,12
7.60E+21,,1,1.071358388,1,1,1,1,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1,0,4,2,2,2,2,2,0,0
7.60E+21,,0,0.432286084,1,1,1,1,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0,1,0,0,1,0,0,1,1,1
7.60E+21,,2,1.623914286,2,1,2,2,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1,10,3,3,3,2,2,1,3,4
7.60E+21,,0,0.431542039,1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2,2,2,2,1,2,2,0,0,2
