manzanac,,pred2029,pred2029_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.20642821,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2,0,0
7.60E+21,,1,0.955401266,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4,1,1
7.60E+21,,0,0.494937735,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2,1,1
7.60E+21,,0,0.001372605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.60E+21,,1,0.748276526,1,1,1,1,1,1,1,1,1,2,2,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0,1,1
7.60E+21,,2,2.04,2,2,2,2,2,2,2,2,2,3,2,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8,8,1
7.60E+21,,0,0.057310623,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0
7.60E+21,,0,0.489641238,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2,0,4
7.60E+21,,0,0.222403573,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3
7.60E+21,,1,0.564939974,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,3
7.60E+21,,0,0.062867833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
7.60E+21,,0,0.269767621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1
7.60E+21,,0,0.307820986,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1
7.60E+21,,0,0.137387559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
7.60E+21,,1,0.6224381,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2,0,1
7.60E+21,,0,0.071769443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
7.60E+21,,0,0.03592126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
